TRT_ID,coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
53464,-104.9556,39.7189,1670523624,1,330.45,9.39,17.99,43.99,1.85,4.29,5.77,1.73
53476,-94.0075,44.1622,1670523624,1,263.69,1.65,6.6,47.92,1.28,4.81,5.55,4.56
53491,-80.649,28.5729,1670523624,2,201.94,0.09,0.71,80.11,0.35,3.87,5.7,0.0
53493,-96.4045,30.6529,1670523624,1,190.26,0.24,1.17,52.21,1.01,4.79,5.83,0.14
53494,-122.5391,38.4418,1670523624,1,226.97,0.13,4.37,51.5,0.78,5.4,7.03,0.1
53498,-92.4686,45.6614,1670523624,1,257.02,1.84,4.88,45.06,1.33,2.71,3.13,1.63
53499,-121.6999,37.7027,1670523624,4,400.54,8.83,29.47,7.42,0.86,26.78,32.03,0.51
53500,-81.7527,24.569,1670523623,2,193.6,0.09,0.65,95.84,1.09,5.77,15.3,0.0
53501,-122.7099,38.4816,1670523624,1,257.02,0.19,9.0,48.64,1.91,7.38,9.22,0.2
53504,-72.8029,43.6174,1670523624,1,240.33,0.23,2.79,62.23,1.13,0.53,0.71,0.1
53505,-72.8034,43.6183,1670523624,1,240.33,0.23,2.79,62.23,1.13,0.53,0.71,0.1
53506,-72.8432,43.6625,1670523624,1,240.33,0.23,2.79,62.23,1.13,0.53,0.71,0.1
53507,-75.8428,36.1162,1670523624,1,263.69,1.19,4.71,43.63,0.92,3.97,4.77,0.16
